date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:04	11182/11182	---M--	200	added ('OK')	image/gif	etag:%221ec83ac8-2bae-2b252fdd3cd40%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/ge.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/ge.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/ge.html)
22:13:04	5414/5414	---M--	200	added ('OK')	image/gif	etag:%221ec83ad8-1526-2b253228b3740%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/lang1.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/lang1.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/lang.html)
22:13:04	5275/5275	---M--	200	added ('OK')	image/gif	etag:%221ec83ada-149b-2b25324367640%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/lang2.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/lang2.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/lang.html)
22:13:04	3070/3070	---M--	200	added ('OK')	image/gif	etag:%221ec83adc-bfe-2b25325586100%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/lang3.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/lang3.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/lang.html)
22:13:05	7662/7662	---M--	200	added ('OK')	image/gif	etag:%221ec83be4-1dee-2b25353c6f9c0%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/lyleSurfHippo.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/lyleSurfHippo.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/lyleSurfHippo.html)
22:13:05	14867/14867	---M--	200	added ('OK')	image/gif	etag:%221ec83a94-3a13-2b25364682d80%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/rjwilliams1.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/rjwilliams1.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/rjwilliams.html)
22:13:05	6333/6333	---M--	200	added ('OK')	image/gif	etag:%221ec83ae0-18bd-2b263e42bbf40%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/sage1.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/sage1.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/sage.html)
22:13:06	6172/6172	---M--	200	added ('OK')	image/gif	etag:%221ec83be2-181c-2b263e54daa00%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/sage2.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/sage2.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/sage.html)
22:13:06	6876/6876	---M--	200	added ('OK')	image/gif	etag:%221ec83be6-1adc-2b263e8f07340%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/sageNapolean.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/sageNapolean.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/sage.html)
22:13:06	6202/6202	---M--	200	added ('OK')	image/gif	etag:%221ec83ade-183a-2b26406624ac0%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/salisburgenc1.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/salisburgenc1.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/salisburgenc.html)
22:13:06	4540/4540	---M--	200	added ('OK')	image/gif	etag:%221ec83bf0-11bc-2b2641ded8380%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/soar.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/soar.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/soar.html)
22:13:07	9778/9778	---M--	200	added ('OK')	image/gif	etag:%221ec83bf4-2632-2b2649794b3c0%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/spackmancosma.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/spackmancosma.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/spackmancosma.html)
22:13:07	10023/10023	---M--	200	added ('OK')	image/gif	etag:%221ec83c16-2727-2b26512024140%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/tattersall.cust-sup.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/tattersall.cust-sup.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/tattersall.html)
22:13:07	3778/3778	---M--	200	added ('OK')	image/gif	etag:%221ec83bf8-ec2-2b264d39a4d80%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/kuttyvislang.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/kuttyvislang.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/kuttyvislang.html)
22:13:07	10234/10234	---M--	200	added ('OK')	image/gif	etag:%221ec83bfc-27fa-2b264c1201400%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/eschbach.platin.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/eschbach.platin.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/eschbach.platin.html)
22:13:08	9072/9072	---M--	200	added ('OK')	image/gif	etag:%221ec83c04-2370-2b264ea222000%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/nasaDedal3.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/nasaDedal3.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/nasaDedal.html)
22:13:08	17724/17724	---M--	200	added ('OK')	image/gif	etag:%221ec83c08-453c-2b264fa958d00%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/pecsek2.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/pecsek2.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/pecsek.html)
22:13:08	3627/3627	---M--	200	added ('OK')	image/gif	etag:%221ec81f88-e2b-2b53a1e9170c0%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/eg1-c.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/eg1-c.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/fmmpursuit.html)
22:13:08	6414/6414	---M--	200	added ('OK')	image/gif	etag:%221ec837c2-190e-2b53a1e9170c0%22	https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/eg2-b.gif	www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/eg2-b.gif	(from https://www.cs.cmu.edu/afs/cs/project/garnet/www/screen-shots/fmmpursuit.html)
